,Ballot Submission,,,,,,,,,,,,,,,,,Triage & Committee Resolution,,,,,,,,,,,,,,,,,Ballot Comment Tracking,,,,,,,,,
"Comment 
Number",Ballot,Chapter,Section,Page #,Line #,Artifact ID,Resource(s),HTML Page name(s),URL,Vote and Type,Sub-category,Tracker #,Existing Wording,Proposed Wording,Ballot Comment,Summary,In person resolution requested,Comment grouping,Schedule,Triage Note,Pubs,Disposition WG,Disposition,"Disposition Comment
or
Retract/Withdraw details",Disposition/Retract/ Withdrawal Date,Mover / seconder,For ,Against,Abstain,Retracted / Withdrawn,Disposition External Organization,Responsible Person,Change Applied,Substantive Change,Submitted By,Organization,On behalf of,Commenter Email,Submitter Tracking ID,Referred To,Received From,Notes,,
1,FMG,,1.1,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,NEG,Correction,,,,See Word Doc: 2018 05 07 McDonald – ballotcomments_FHIR_IG_CG_R1_D1_2018MAY – BALLOT COMMENT #1,Overall comments on 1.1 and 1.2 re: organization,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
2,FMG,,1.1.1,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,NEG,Clarification,,"Genetic reporting involves reporting information about the genetic characteristics of a sample. The sample might be a tissue sample from a human, an animal or, more rarely, a bacteria or virus. In humans and animals, the sample might be from ""normal"" tissue, transplanted tissue, reproductive tissue (egg or sperm) or abnormal tissue such as a tumor.",,"Should clarify that the sample could be a virus or bacteria but then it will usually be identified as an Isolate.  Genetic-basic organism reports rarely need this kind of sophisticated reporting, and are usually reported as its susceptability to an antibactrerial/antiviral agent. So don't need to use a full mutation analysis. ",Clarification needed on virus/bacteria sample,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
3,FMG,,1.1.1,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,NEG,Correction,,"Because DNA, RNA and even amino acid sequences can be exceptionally long - and are typically mostly the same for a given type of organism or protein - reporting is typically done on the basis of variations between the tested specimen and a reference specimen rather than as a complete enumeration of the whole sequence.","Because DNA, RNA and even amino acid sequences can be exceptionally long - and are typically mostly the same for a given type of organism or protein - reporting is typically done on the basis of variations between the  sequence in the tested specimen against a  and a reference sequence rather than as a complete enumeration of the whole sequence.",The reference is always a sequence. Not a specimen.,Fix language from specimen -> sequence,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
4,FMG,,1.1.1,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,NEG,Clarification,,Note that a sequence might still be relevant (and might still be referred to as a variation) even if it is unchanged from the reference.,,Is a sequence ever referred to as a variation? This is very confusing and may be wrong.,Confusing text re: sequence referred to as variation,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
5,FMG,,1.1.1,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,NEG,Clarification,,"The presumed cause of the difference (insertion of extra copies, inversion of a portion of the sequence","The type of the difference (insertion of extra copies, inversion of a portion of the sequence",The things in the answer lists such as insertion are types of variation. They are not really causes. The causes are legion and hardly ever really known.,"Clarification on wording to correct ""presumed cause"" -> type of variation",,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
6,FMG,,1.1.1,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,NEG,Correction,,"The technique used to detect the variation, alignment with the borders of major features of the underlying sequence (e.g. variants), the presumed cause of the difference (insertion of extra copies, inversion of a portion of the sequence, common patterns in the population (a common set of variations typically appear together), a known effect(a particular collection of changes may result in a known physical manifestation or disease - aka. a phenotype)",remove or shrink,Not sure this is relevant or necessary.,Remove or shrink text,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
7,FMG,,1.1.1,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,NEG,Enhancement,,"Because DNA, RNA and even amino acid sequences can be exceptionally long - and are typically mostly the same for a given type of organism or protein - reporting is typically done on the basis of variations between the tested specimen and a reference specimen rather than as a complete enumeration of the whole sequence.","Because DNA, RNA and even amino acid, sequences can be exceptionally long - and are virtually the samefor long stretches within a given species - reporting is typically done on the basis of differences between the sequence observed in  the tested specimen and the sequence in a reference sequence. Such differences are called variations. They are not usually reported a a complete enumeration of the whole  sequence of interest. ",These differences are called variations for the ease of intrepretation by the receiver. Think the word protein may misconstrue -  proteomics is a whole different area. ,Inserted text to clarify reporting on sequences,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
8,FMG,,1.1.2,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,NEG,Correction,,The focal element for genetic reporting is the DiagnosticReport resource.,The payload for a genetic report is carried by the DiagnosticReport resource.,Change focal element to payload,"Change ""focal element"" -> ""payload""",,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
9,FMG,,1.1.2,,,,ImplementationGuide,,http://hl7.org/fhir/uv/genomics-reporting/background.html#overview,NEG,Correction,,"It summarizes and packages all of the information found, organizes it for consumption and provides a summary as well as a rendered view of the findings. ","The report summarizes and packages all of the information produced by the genetic analysis and other related items such as the orders, the specimen, and others. It organizes it for consumption and provide a summary as well as a rendered  view of the findings. ",Is the rendered view the embeded narrative report?,Inserted text to describe package of information in genetic analysis,,,,,,,,,,,,,,,,,,,Clem McDonald ,National Library of Medicine ,,,,,,,,
